2016-03-02 15:19:48,173 INFO  [main][org.apache.spark.SparkContext] Running Spark version 1.4.1
2016-03-02 15:19:56,017 INFO  [main][org.apache.spark.SecurityManager] Changing view acls to: admin
2016-03-02 15:19:56,038 INFO  [main][org.apache.spark.SecurityManager] Changing modify acls to: admin
2016-03-02 15:19:56,053 INFO  [main][org.apache.spark.SecurityManager] SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(admin); users with modify permissions: Set(admin)
2016-03-02 15:19:59,376 INFO  [sparkDriver-akka.actor.default-dispatcher-2][akka.event.slf4j.Slf4jLogger] Slf4jLogger started
2016-03-02 15:19:59,617 INFO  [sparkDriver-akka.actor.default-dispatcher-2][Remoting] Starting remoting
2016-03-02 15:20:00,695 INFO  [sparkDriver-akka.actor.default-dispatcher-2][Remoting] Remoting started; listening on addresses :[akka.tcp://sparkDriver@192.168.3.139:53962]
2016-03-02 15:20:00,720 INFO  [main][org.apache.spark.util.Utils] Successfully started service 'sparkDriver' on port 53962.
2016-03-02 15:20:00,887 INFO  [main][org.apache.spark.SparkEnv] Registering MapOutputTracker
2016-03-02 15:20:01,078 INFO  [main][org.apache.spark.SparkEnv] Registering BlockManagerMaster
2016-03-02 15:20:01,230 INFO  [main][org.apache.spark.storage.DiskBlockManager] Created local directory at C:\Users\IBM_ADMIN\AppData\Local\Temp\spark-c4db7bd0-0a78-42ff-b9d9-bc5c52e158aa\blockmgr-a96403b4-a9c7-4fd8-b9f0-8e6f2c2443b1
2016-03-02 15:20:01,272 INFO  [main][org.apache.spark.storage.MemoryStore] MemoryStore started with capacity 265.4 MB
2016-03-02 15:20:01,435 INFO  [main][org.apache.spark.HttpFileServer] HTTP File server directory is C:\Users\IBM_ADMIN\AppData\Local\Temp\spark-c4db7bd0-0a78-42ff-b9d9-bc5c52e158aa\httpd-6104e565-799f-4d37-b803-e78d7e6755fb
2016-03-02 15:20:01,513 INFO  [main][org.apache.spark.HttpServer] Starting HTTP Server
2016-03-02 15:20:02,036 INFO  [main][org.spark-project.jetty.server.Server] jetty-8.y.z-SNAPSHOT
2016-03-02 15:20:02,073 INFO  [main][org.spark-project.jetty.server.AbstractConnector] Started SocketConnector@0.0.0.0:53963
2016-03-02 15:20:02,089 INFO  [main][org.apache.spark.util.Utils] Successfully started service 'HTTP file server' on port 53963.
2016-03-02 15:20:02,188 INFO  [main][org.apache.spark.SparkEnv] Registering OutputCommitCoordinator
2016-03-02 15:20:02,611 INFO  [main][org.spark-project.jetty.server.Server] jetty-8.y.z-SNAPSHOT
2016-03-02 15:20:02,628 INFO  [main][org.spark-project.jetty.server.AbstractConnector] Started SelectChannelConnector@0.0.0.0:4040
2016-03-02 15:20:02,629 INFO  [main][org.apache.spark.util.Utils] Successfully started service 'SparkUI' on port 4040.
2016-03-02 15:20:02,633 INFO  [main][org.apache.spark.ui.SparkUI] Started SparkUI at http://192.168.3.139:4040
2016-03-02 15:20:02,897 INFO  [main][org.apache.spark.SparkContext] Added JAR file:/E:/eclipse/workspace_new/workspace_scala/sbdsample/server/target/scala-2.10/sbdsample-assembly-0.1-SNAPSHOT.jar at http://192.168.3.139:53963/jars/sbdsample-assembly-0.1-SNAPSHOT.jar with timestamp 1456903202896
2016-03-02 15:20:03,406 INFO  [main][org.apache.spark.scheduler.FairSchedulableBuilder] Created pool worker, schedulingMode: FAIR, minShare: 0, weight: 1
2016-03-02 15:20:03,408 INFO  [main][org.apache.spark.scheduler.FairSchedulableBuilder] Created pool warmup, schedulingMode: FAIR, minShare: 0, weight: 1
2016-03-02 15:20:03,409 INFO  [main][org.apache.spark.scheduler.FairSchedulableBuilder] Created pool default, schedulingMode: FAIR, minShare: 0, weight: 1
2016-03-02 15:20:03,543 INFO  [main][org.apache.spark.executor.Executor] Starting executor ID driver on host localhost
2016-03-02 15:20:05,373 INFO  [main][org.apache.spark.util.Utils] Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 53982.
2016-03-02 15:20:05,374 INFO  [main][org.apache.spark.network.netty.NettyBlockTransferService] Server created on 53982
2016-03-02 15:20:05,422 INFO  [main][org.apache.spark.storage.BlockManagerMaster] Trying to register BlockManager
2016-03-02 15:20:05,435 INFO  [sparkDriver-akka.actor.default-dispatcher-3][org.apache.spark.storage.BlockManagerMasterEndpoint] Registering block manager localhost:53982 with 265.4 MB RAM, BlockManagerId(driver, localhost, 53982)
2016-03-02 15:20:05,472 INFO  [main][org.apache.spark.storage.BlockManagerMaster] Registered BlockManager
