ap1118,s109,0.5,1,0.6,1,0.5,1,0.6,1
ap1118,s114,0.5,1,0.6,1,0.5,1,0.6,1
ap1118,s142,0.5,1,0.6,1,0.5,1,0.6,1
ap1118,s149,0.5,1,0.6,1,0.5,1,0.6,1
ap1118,s221,0.5,1,0.6,1,0.5,1,0.6,1
ap1118,s239,0.5,1,0.6,1,0.5,1,0.6,1
ap1118,s243,0.5,1,0.6,1,0.5,1,0.6,1
ap1118,s255,0.5,1,0.5,1,0.5,1,0.6,1
ap1118,s265,0.5,1,0.3,1,0.5,1,0.6,1
ap1118,s361,0.5,1,0.3,1,0.5,1,0.6,1
ap1105,s109,0.5,1,0.6,1,0.5,1,0.6,1
ap1105,s424,0.5,1,0.6,1,0.5,1,0.6,1
ap1105,s425,0.5,1,0.6,1,0.5,1,0.6,1
ap1105,s426,0.5,1,0.6,1,0.5,1,0.6,1
ap1105,s427,0.5,1,0.5,1,0.5,1,0.6,1
ap1105,s433,0.5,1,0.5,1,0.5,1,0.6,1
ap1121,s109,0.5,1,0.5,1,0.5,1,0.6,1
ap1137,s109,0.5,1,0.5,1,0.5,1,0.6,1
